area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E06000001,Hartlepool,Tier 3,276.5,190.6,0.5,9.7,3.4,47.8,42.77472527472527
E06000002,Middlesbrough,Tier 3,221.3,173.1,0.6,6.9,1.5,23.4,33.46153846153847
E06000003,Redcar and Cleveland,Tier 3,193.9,132.3,0.5,6.5,1.5,22.9,27.124542124542124
E06000004,Stockton-on-Tees,Tier 3,249.8,250,0.6,10.3,3.4,47.1,45.76923076923077
E06000005,Darlington,Tier 3,248.1,217.2,0.7,8.6,4,31.4,41.08058608058608
E06000006,Halton,Tier 2,153.8,84.6,0.7,4.9,2.7,37.8,20.430402930402927
E06000007,Warrington,Tier 2,147.6,125.7,0.6,5.3,3.5,51.5,24.98168498168498
E06000008,Blackburn with Darwen,Tier 3,281.2,251.7,0.6,9.4,6.5,50,49.26739926739926
E06000009,Blackpool,Tier 3,170.7,182.4,0.6,5,6.8,46.2,32.07875457875458
E06000010,"Kingston upon Hull, City of",Tier 3,329.1,251.7,0.5,9.1,2,31.8,51.53846153846153
E06000011,East Riding of Yorkshire,Tier 3,215.4,172.4,0.6,6.9,2,31,33.5989010989011
E06000012,North East Lincolnshire,Tier 3,286.4,225.1,0.6,9.7,3,43,46.37362637362637
E06000013,North Lincolnshire,Tier 3,264.7,244,0.6,8.1,2.9,42.2,45.88827838827839
E06000014,York,Tier 2,99.2,86.7,0.7,4.7,1.7,24.1,14.25824175824176
E06000015,Derby,Tier 3,212.6,127.5,0.6,7.7,2.3,31.4,29.368131868131865
E06000016,Leicester,Tier 3,319,218.6,0.7,9.5,2,25.7,47.078754578754584
E06000017,Rutland,Tier 2,72.6,47.2,0.6,2.6,2.1,19.6,7.628205128205128
E06000018,Nottingham,Tier 3,168.2,185.8,0.7,6.6,4,35.4,31.071428571428573
E06000019,"Herefordshire, County of",Tier 2,87.1,88.6,0.5,2.9,2.9,15.4,12.454212454212453
E06000020,Telford and Wrekin,Tier 2,211.8,137,0.8,4.9,1.7,21.3,28.94688644688645
E06000021,Stoke-on-Trent,Tier 3,367,285.7,0.7,8.8,5.8,50.3,60.15567765567765
E06000022,Bath and North East Somerset,Tier 2,89.5,81.3,0.4,3.6,2.5,17.6,12.225274725274724
E06000023,"Bristol, City of",Tier 3,209.5,172.7,0.5,6.9,2.7,23.4,32.44505494505494
E06000024,North Somerset,Tier 3,183.7,117.5,0.7,5.3,1.9,16,24.148351648351646
E06000025,South Gloucestershire,Tier 3,168.7,152.7,0.6,5.9,2.7,25.2,26.95970695970696
E06000026,Plymouth,Tier 2,87,46,0.5,2.7,0.7,11.3,7.948717948717948
E06000027,Torbay,Tier 2,85.1,58.6,0.5,2.1,1,10.2,8.8003663003663
E06000030,Swindon,Tier 2,141.3,86.8,0.8,6.8,0.8,11.6,17.0970695970696
E06000031,Peterborough,Tier 2,208.6,110.7,1.1,7.6,2.1,15.1,25.989010989010985
E06000032,Luton,Tier 2,268,124.3,0.9,7.7,3.3,25.4,33.717948717948715
E06000033,Southend-on-Sea,Tier 2,115.8,81.3,0.7,3.7,4.8,39.1,16.849816849816847
E06000034,Thurrock,Tier 2,211.7,174.8,1,7.6,0.8,6.7,31.24542124542124
E06000035,Medway,Tier 3,479.3,375.4,1.2,13.6,6.8,45.4,78.78205128205128
E06000036,Bracknell Forest,Tier 2,68.5,32.5,0.6,3,1.6,12,5.201465201465201
E06000037,West Berkshire,Tier 2,63.7,44.8,0.6,3.2,2.5,13.7,6.144688644688645
E06000038,Reading,Tier 2,130.4,95.8,0.8,4.7,2.9,11.7,16.93223443223443
E06000039,Slough,Tier 3,300.9,223.4,0.9,9.5,1.4,12.4,44.6062271062271
E06000040,Windsor and Maidenhead,Tier 2,109,57.6,0.7,4.3,1.4,12.3,11.346153846153845
E06000041,Wokingham,Tier 2,102.3,63.3,0.8,4.7,2.6,11.4,11.327838827838827
E06000042,Milton Keynes,Tier 2,138.8,103.9,0.7,5.6,3,24.4,19.68864468864469
E06000043,Brighton and Hove,Tier 2,59.5,42.9,0.5,2.6,0.6,8.9,4.908424908424909
E06000044,Portsmouth,Tier 2,139.1,111.5,0.5,5.3,2.4,22.6,20.146520146520146
E06000045,Southampton,Tier 2,85.5,60,0.5,1.7,0.7,7.8,8.681318681318682
