area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,Employee jobs in retail,2018,Count,Persons,300
E02001259,Old Trafford,Employee jobs in retail,2018,Industry percentage,Persons,3.3
E02001260,Trafford Park West & Kingsway Park,Employee jobs in retail,2018,Count,Persons,7000
E02001260,Trafford Park West & Kingsway Park,Employee jobs in retail,2018,Industry percentage,Persons,25
E02001261,Gorse Hill,Employee jobs in retail,2018,Count,Persons,900
E02001261,Gorse Hill,Employee jobs in retail,2018,Industry percentage,Persons,6.4
E02001262,Firswood,Employee jobs in retail,2018,Count,Persons,250
E02001262,Firswood,Employee jobs in retail,2018,Industry percentage,Persons,4.2
E02001263,Davyhulme,Employee jobs in retail,2018,Count,Persons,350
E02001263,Davyhulme,Employee jobs in retail,2018,Industry percentage,Persons,7
E02001264,Trafford Park East & Sevenways,Employee jobs in retail,2018,Count,Persons,800
E02001264,Trafford Park East & Sevenways,Employee jobs in retail,2018,Industry percentage,Persons,5.3
E02001265,Flixton & Moorside,Employee jobs in retail,2018,Count,Persons,125
E02001265,Flixton & Moorside,Employee jobs in retail,2018,Industry percentage,Persons,13.9
E02001266,Lostock & Stretford Meadows,Employee jobs in retail,2018,Count,Persons,175
E02001266,Lostock & Stretford Meadows,Employee jobs in retail,2018,Industry percentage,Persons,5.8
E02001267,Urmston East,Employee jobs in retail,2018,Count,Persons,500
E02001267,Urmston East,Employee jobs in retail,2018,Industry percentage,Persons,16.7
E02001268,Urmston West,Employee jobs in retail,2018,Count,Persons,100
E02001268,Urmston West,Employee jobs in retail,2018,Industry percentage,Persons,10
E02001269,Stretford East,Employee jobs in retail,2018,Count,Persons,400
E02001269,Stretford East,Employee jobs in retail,2018,Industry percentage,Persons,20
E02001270,Sale North,Employee jobs in retail,2018,Count,Persons,175
E02001270,Sale North,Employee jobs in retail,2018,Industry percentage,Persons,2.5
E02001271,Ashton upon Mersey North,Employee jobs in retail,2018,Count,Persons,125
E02001271,Ashton upon Mersey North,Employee jobs in retail,2018,Industry percentage,Persons,10
E02001272,Sale East,Employee jobs in retail,2018,Count,Persons,175
E02001272,Sale East,Employee jobs in retail,2018,Industry percentage,Persons,10
E02001273,Sale Central,Employee jobs in retail,2018,Count,Persons,1250
E02001273,Sale Central,Employee jobs in retail,2018,Industry percentage,Persons,20.8
E02001274,Ashton upon Mersey South,Employee jobs in retail,2018,Count,Persons,75
E02001274,Ashton upon Mersey South,Employee jobs in retail,2018,Industry percentage,Persons,6
E02001275,Partington,Employee jobs in retail,2018,Count,Persons,100
E02001275,Partington,Employee jobs in retail,2018,Industry percentage,Persons,3.3
E02001276,Sale Moor,Employee jobs in retail,2018,Count,Persons,45
E02001276,Sale Moor,Employee jobs in retail,2018,Industry percentage,Persons,9
E02001277,Broadheath & Firsway,Employee jobs in retail,2018,Count,Persons,1000
E02001277,Broadheath & Firsway,Employee jobs in retail,2018,Industry percentage,Persons,20
E02001278,West Timperley,Employee jobs in retail,2018,Count,Persons,125
E02001278,West Timperley,Employee jobs in retail,2018,Industry percentage,Persons,5.6
E02001279,Timperley North,Employee jobs in retail,2018,Count,Persons,75
E02001279,Timperley North,Employee jobs in retail,2018,Industry percentage,Persons,9.4
E02001280,Timperley East,Employee jobs in retail,2018,Count,Persons,150
E02001280,Timperley East,Employee jobs in retail,2018,Industry percentage,Persons,21.4
E02001281,Timperley South,Employee jobs in retail,2018,Count,Persons,150
E02001281,Timperley South,Employee jobs in retail,2018,Industry percentage,Persons,10
E02001282,Altrincham East,Employee jobs in retail,2018,Count,Persons,600
E02001282,Altrincham East,Employee jobs in retail,2018,Industry percentage,Persons,3.5
E02001283,"Altrincham West, Dunham & Warburton",Employee jobs in retail,2018,Count,Persons,1500
E02001283,"Altrincham West, Dunham & Warburton",Employee jobs in retail,2018,Industry percentage,Persons,15
E02001284,Hale,Employee jobs in retail,2018,Count,Persons,150
E02001284,Hale,Employee jobs in retail,2018,Industry percentage,Persons,8.6
E02001285,Bowdon,Employee jobs in retail,2018,Count,Persons,400
E02001285,Bowdon,Employee jobs in retail,2018,Industry percentage,Persons,10
E02001286,Hale Barns,Employee jobs in retail,2018,Count,Persons,225
E02001286,Hale Barns,Employee jobs in retail,2018,Industry percentage,Persons,9
