area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,Cancer prevalence,2018,percentage,persons,1.78
E02001260,Trafford Park West & Kingsway Park,Cancer prevalence,2018,percentage,persons,3.43
E02001261,Gorse Hill,Cancer prevalence,2018,percentage,persons,2.23
E02001262,Firswood,Cancer prevalence,2018,percentage,persons,1.91
E02001263,Davyhulme,Cancer prevalence,2018,percentage,persons,3.24
E02001264,Trafford Park East & Sevenways,Cancer prevalence,2018,percentage,persons,2.59
E02001265,Flixton & Moorside,Cancer prevalence,2018,percentage,persons,3
E02001266,Lostock & Stretford Meadows,Cancer prevalence,2018,percentage,persons,2.71
E02001267,Urmston East,Cancer prevalence,2018,percentage,persons,3.08
E02001268,Urmston West,Cancer prevalence,2018,percentage,persons,3.08
E02001269,Stretford East,Cancer prevalence,2018,percentage,persons,2.41
E02001270,Sale North,Cancer prevalence,2018,percentage,persons,3.23
E02001271,Ashton upon Mersey North,Cancer prevalence,2018,percentage,persons,3.09
E02001272,Sale East,Cancer prevalence,2018,percentage,persons,3.41
E02001273,Sale Central,Cancer prevalence,2018,percentage,persons,3.35
E02001274,Ashton upon Mersey South,Cancer prevalence,2018,percentage,persons,3.29
E02001275,Partington,Cancer prevalence,2018,percentage,persons,3.27
E02001276,Sale Moor,Cancer prevalence,2018,percentage,persons,3.32
E02001277,Broadheath & Firsway,Cancer prevalence,2018,percentage,persons,3.17
E02001278,West Timperley,Cancer prevalence,2018,percentage,persons,3.26
E02001279,Timperley North,Cancer prevalence,2018,percentage,persons,3.32
E02001280,Timperley East,Cancer prevalence,2018,percentage,persons,3.18
E02001281,Timperley South,Cancer prevalence,2018,percentage,persons,3.49
E02001282,Altrincham East,Cancer prevalence,2018,percentage,persons,3.2
E02001283,"Altrincham West, Dunham & Warburton",Cancer prevalence,2018,percentage,persons,3.41
E02001284,Hale,Cancer prevalence,2018,percentage,persons,3.81
E02001285,Bowdon,Cancer prevalence,2018,percentage,persons,3.82
E02001286,Hale Barns,Cancer prevalence,2018,percentage,persons,3.97
