area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,Diabetes prevalence,2018,percentage,persons,8.36
E02001260,Trafford Park West & Kingsway Park,Diabetes prevalence,2018,percentage,persons,7.08
E02001261,Gorse Hill,Diabetes prevalence,2018,percentage,persons,8.03
E02001262,Firswood,Diabetes prevalence,2018,percentage,persons,7.78
E02001263,Davyhulme,Diabetes prevalence,2018,percentage,persons,6.81
E02001264,Trafford Park East & Sevenways,Diabetes prevalence,2018,percentage,persons,7.07
E02001265,Flixton & Moorside,Diabetes prevalence,2018,percentage,persons,6.54
E02001266,Lostock & Stretford Meadows,Diabetes prevalence,2018,percentage,persons,7.05
E02001267,Urmston East,Diabetes prevalence,2018,percentage,persons,6.93
E02001268,Urmston West,Diabetes prevalence,2018,percentage,persons,6.75
E02001269,Stretford East,Diabetes prevalence,2018,percentage,persons,7.06
E02001270,Sale North,Diabetes prevalence,2018,percentage,persons,5.92
E02001271,Ashton upon Mersey North,Diabetes prevalence,2018,percentage,persons,6.1
E02001272,Sale East,Diabetes prevalence,2018,percentage,persons,6.02
E02001273,Sale Central,Diabetes prevalence,2018,percentage,persons,5.88
E02001274,Ashton upon Mersey South,Diabetes prevalence,2018,percentage,persons,6.19
E02001275,Partington,Diabetes prevalence,2018,percentage,persons,8.23
E02001276,Sale Moor,Diabetes prevalence,2018,percentage,persons,6.36
E02001277,Broadheath & Firsway,Diabetes prevalence,2018,percentage,persons,5.91
E02001278,West Timperley,Diabetes prevalence,2018,percentage,persons,5.86
E02001279,Timperley North,Diabetes prevalence,2018,percentage,persons,5.71
E02001280,Timperley East,Diabetes prevalence,2018,percentage,persons,6.24
E02001281,Timperley South,Diabetes prevalence,2018,percentage,persons,5.87
E02001282,Altrincham East,Diabetes prevalence,2018,percentage,persons,5.25
E02001283,"Altrincham West, Dunham & Warburton",Diabetes prevalence,2018,percentage,persons,5.1
E02001284,Hale,Diabetes prevalence,2018,percentage,persons,5.23
E02001285,Bowdon,Diabetes prevalence,2018,percentage,persons,5.13
E02001286,Hale Barns,Diabetes prevalence,2018,percentage,persons,5.48
