area_code,area_name,indicator,period,measure,unit,value
E02001259,Trafford 001,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,1.042553214
E02001260,Trafford 002,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.12173913
E02001261,Trafford 003,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,1.553571415
E02001262,Trafford 004,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,1.172413803
E02001263,Trafford 005,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.851485186
E02001264,Trafford 006,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,2.739130435
E02001265,Trafford 007,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.245097975
E02001266,Trafford 008,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,1.903225806
E02001267,Trafford 009,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,2.261363688
E02001268,Trafford 010,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.586206814
E02001269,Trafford 011,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,1.945454563
E02001270,Trafford 012,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.810810811
E02001271,Trafford 013,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,2.75
E02001272,Trafford 014,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.783783784
E02001273,Trafford 015,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.488095238
E02001274,Trafford 016,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.588785047
E02001275,Trafford 017,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,1.726415111
E02001276,Trafford 018,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,2.619999974
E02001277,Trafford 019,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,2.419642836
E02001278,Trafford 020,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.740000075
E02001279,Trafford 021,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.712962894
E02001280,Trafford 022,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,2.263565856
E02001281,Trafford 023,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.805309735
E02001282,Trafford 024,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.714285674
E02001283,Trafford 025,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.401869159
E02001284,Trafford 026,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.847619048
E02001285,Trafford 027,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.691588785
E02001286,Trafford 028,Smoking prevalence at age 15 - regular smokers (modelled estimates),2014,percentage,persons,3.297619048
