area_name,date,transportation_type,percent
Manchester,2020-01-13,Driving,1
Manchester,2020-01-14,Driving,1.0164
Manchester,2020-01-15,Driving,1.0881
Manchester,2020-01-16,Driving,1.0373999999999999
Manchester,2020-01-17,Driving,1.063
Manchester,2020-01-18,Driving,0.982
Manchester,2020-01-19,Driving,0.8358
Manchester,2020-01-20,Driving,0.9734
Manchester,2020-01-21,Driving,1.1171
Manchester,2020-01-22,Driving,1.0753
Manchester,2020-01-23,Driving,1.0603
Manchester,2020-01-24,Driving,1.0766
Manchester,2020-01-25,Driving,1.0051999999999999
Manchester,2020-01-26,Driving,0.8914
Manchester,2020-01-27,Driving,0.9849
Manchester,2020-01-28,Driving,1.0844
Manchester,2020-01-29,Driving,1.1761
Manchester,2020-01-30,Driving,1.0473000000000001
Manchester,2020-01-31,Driving,1.0908
Manchester,2020-02-01,Driving,1.0493000000000001
Manchester,2020-02-02,Driving,0.8702
Manchester,2020-02-03,Driving,0.9658
Manchester,2020-02-04,Driving,1.1364
Manchester,2020-02-05,Driving,1.0289
Manchester,2020-02-06,Driving,1.0659
Manchester,2020-02-07,Driving,1.0749
Manchester,2020-02-08,Driving,1.0012
Manchester,2020-02-09,Driving,0.9004000000000001
Manchester,2020-02-10,Driving,0.9912000000000001
Manchester,2020-02-11,Driving,1.0001
Manchester,2020-02-12,Driving,1.0285
Manchester,2020-02-13,Driving,1.0575
Manchester,2020-02-14,Driving,1.13
Manchester,2020-02-15,Driving,1.0027
Manchester,2020-02-16,Driving,0.8587
Manchester,2020-02-17,Driving,1.0318
Manchester,2020-02-18,Driving,1.0668
Manchester,2020-02-19,Driving,1.262
Manchester,2020-02-20,Driving,1.0854000000000001
Manchester,2020-02-21,Driving,1.1772
Manchester,2020-02-22,Driving,1.0332
Manchester,2020-02-23,Driving,0.9639
Manchester,2020-02-24,Driving,1.2437
Manchester,2020-02-25,Driving,1.0818
Manchester,2020-02-26,Driving,1.0856999999999999
Manchester,2020-02-27,Driving,1.1152
Manchester,2020-02-28,Driving,1.2815
Manchester,2020-02-29,Driving,1.0487
Manchester,2020-03-01,Driving,0.9027
Manchester,2020-03-02,Driving,1.0129000000000001
Manchester,2020-03-03,Driving,1.0598999999999998
Manchester,2020-03-04,Driving,1.0354
Manchester,2020-03-05,Driving,1.0334
Manchester,2020-03-06,Driving,1.1007
Manchester,2020-03-07,Driving,1.0539
Manchester,2020-03-08,Driving,0.9098
Manchester,2020-03-09,Driving,0.9803000000000001
Manchester,2020-03-10,Driving,0.9861
Manchester,2020-03-11,Driving,1.0515999999999999
Manchester,2020-03-12,Driving,0.9398000000000001
Manchester,2020-03-13,Driving,0.9564
Manchester,2020-03-14,Driving,0.8814
Manchester,2020-03-15,Driving,0.7101000000000001
Manchester,2020-03-16,Driving,0.7509
Manchester,2020-03-17,Driving,0.6672
Manchester,2020-03-18,Driving,0.6267
Manchester,2020-03-19,Driving,0.6293
Manchester,2020-03-20,Driving,0.6609
Manchester,2020-03-21,Driving,0.5336
Manchester,2020-03-22,Driving,0.44549999999999995
Manchester,2020-03-23,Driving,0.49729999999999996
Manchester,2020-03-24,Driving,0.35359999999999997
Manchester,2020-03-25,Driving,0.33880000000000005
Manchester,2020-03-26,Driving,0.3331
Manchester,2020-03-27,Driving,0.36090000000000005
Manchester,2020-03-28,Driving,0.2908
Manchester,2020-03-29,Driving,0.242
Manchester,2020-03-30,Driving,0.30579999999999996
Manchester,2020-03-31,Driving,0.3206
Manchester,2020-04-01,Driving,0.32049999999999995
Manchester,2020-04-02,Driving,0.321
Manchester,2020-04-03,Driving,0.3677
Manchester,2020-04-04,Driving,0.3096
Manchester,2020-04-05,Driving,0.25980000000000003
Manchester,2020-04-06,Driving,0.3236
Manchester,2020-04-07,Driving,0.3389
Manchester,2020-04-08,Driving,0.3443
Manchester,2020-04-09,Driving,0.36700000000000005
Manchester,2020-04-10,Driving,0.3306
Manchester,2020-04-11,Driving,0.3118
Manchester,2020-04-12,Driving,0.2389
Manchester,2020-04-13,Driving,0.2865
Manchester,2020-04-14,Driving,0.36950000000000005
Manchester,2020-04-15,Driving,0.37979999999999997
Manchester,2020-04-16,Driving,0.382
Manchester,2020-04-17,Driving,0.4127
Manchester,2020-04-18,Driving,0.34759999999999996
Manchester,2020-01-13,Transit,1
Manchester,2020-01-14,Transit,1.0321
Manchester,2020-01-15,Transit,1.0475
Manchester,2020-01-16,Transit,0.9925
Manchester,2020-01-17,Transit,1.0151999999999999
Manchester,2020-01-18,Transit,0.9753000000000001
Manchester,2020-01-19,Transit,0.8668
Manchester,2020-01-20,Transit,1.0371
Manchester,2020-01-21,Transit,1.0983
Manchester,2020-01-22,Transit,1.1227
Manchester,2020-01-23,Transit,1.0604
Manchester,2020-01-24,Transit,1.1028
Manchester,2020-01-25,Transit,1.0139
Manchester,2020-01-26,Transit,0.9559000000000001
Manchester,2020-01-27,Transit,1.057
Manchester,2020-01-28,Transit,1.1107
Manchester,2020-01-29,Transit,1.1867
Manchester,2020-01-30,Transit,1.1040999999999999
Manchester,2020-01-31,Transit,1.111
Manchester,2020-02-01,Transit,1.0703
Manchester,2020-02-02,Transit,1.0066
Manchester,2020-02-03,Transit,1.0751
Manchester,2020-02-04,Transit,1.1094
Manchester,2020-02-05,Transit,1.1087
Manchester,2020-02-06,Transit,1.0549
Manchester,2020-02-07,Transit,1.1204
Manchester,2020-02-08,Transit,1.0163
Manchester,2020-02-09,Transit,0.9107
Manchester,2020-02-10,Transit,1.0662
Manchester,2020-02-11,Transit,1.0717
Manchester,2020-02-12,Transit,1.0801
Manchester,2020-02-13,Transit,1.0486
Manchester,2020-02-14,Transit,1.0805
Manchester,2020-02-15,Transit,0.9528
Manchester,2020-02-16,Transit,0.9013
Manchester,2020-02-17,Transit,1.0662
Manchester,2020-02-18,Transit,1.1089
Manchester,2020-02-19,Transit,1.1999
Manchester,2020-02-20,Transit,1.1209
Manchester,2020-02-21,Transit,1.1509
Manchester,2020-02-22,Transit,1.0475
Manchester,2020-02-23,Transit,0.9521
Manchester,2020-02-24,Transit,1.117
Manchester,2020-02-25,Transit,1.1022
Manchester,2020-02-26,Transit,1.0931
Manchester,2020-02-27,Transit,1.1442
Manchester,2020-02-28,Transit,1.1701000000000001
Manchester,2020-02-29,Transit,1.0163
Manchester,2020-03-01,Transit,0.9390999999999999
Manchester,2020-03-02,Transit,1.0989
Manchester,2020-03-03,Transit,1.1191
Manchester,2020-03-04,Transit,1.0672
Manchester,2020-03-05,Transit,1.0190000000000001
Manchester,2020-03-06,Transit,1.0798999999999999
Manchester,2020-03-07,Transit,1.034
Manchester,2020-03-08,Transit,1.0044
Manchester,2020-03-09,Transit,1.0214
Manchester,2020-03-10,Transit,1.0124
Manchester,2020-03-11,Transit,1.0011
Manchester,2020-03-12,Transit,0.8884000000000001
Manchester,2020-03-13,Transit,0.8953
Manchester,2020-03-14,Transit,0.7867000000000001
Manchester,2020-03-15,Transit,0.643
Manchester,2020-03-16,Transit,0.682
Manchester,2020-03-17,Transit,0.5661999999999999
Manchester,2020-03-18,Transit,0.48200000000000004
Manchester,2020-03-19,Transit,0.4598
Manchester,2020-03-20,Transit,0.4073
Manchester,2020-03-21,Transit,0.3261
Manchester,2020-03-22,Transit,0.2942
Manchester,2020-03-23,Transit,0.3095
Manchester,2020-03-24,Transit,0.22149999999999997
Manchester,2020-03-25,Transit,0.20620000000000002
Manchester,2020-03-26,Transit,0.1998
Manchester,2020-03-27,Transit,0.1996
Manchester,2020-03-28,Transit,0.1574
Manchester,2020-03-29,Transit,0.1766
Manchester,2020-03-30,Transit,0.21739999999999998
Manchester,2020-03-31,Transit,0.1887
Manchester,2020-04-01,Transit,0.17059999999999997
Manchester,2020-04-02,Transit,0.1779
Manchester,2020-04-03,Transit,0.16149999999999998
Manchester,2020-04-04,Transit,0.1532
Manchester,2020-04-05,Transit,0.15380000000000002
Manchester,2020-04-06,Transit,0.1775
Manchester,2020-04-07,Transit,0.1673
Manchester,2020-04-08,Transit,0.16949999999999998
Manchester,2020-04-09,Transit,0.1759
Manchester,2020-04-10,Transit,0.1625
Manchester,2020-04-11,Transit,0.1537
Manchester,2020-04-12,Transit,0.1464
Manchester,2020-04-13,Transit,0.1656
Manchester,2020-04-14,Transit,0.1832
Manchester,2020-04-15,Transit,0.1782
Manchester,2020-04-16,Transit,0.1802
Manchester,2020-04-17,Transit,0.1825
Manchester,2020-04-18,Transit,0.14980000000000002
Manchester,2020-01-13,Walking,1
Manchester,2020-01-14,Walking,1.0847
Manchester,2020-01-15,Walking,1.2252
Manchester,2020-01-16,Walking,1.1902
Manchester,2020-01-17,Walking,1.358
Manchester,2020-01-18,Walking,1.6852
Manchester,2020-01-19,Walking,0.9740000000000001
Manchester,2020-01-20,Walking,1.0952
Manchester,2020-01-21,Walking,1.2099
Manchester,2020-01-22,Walking,1.3599
Manchester,2020-01-23,Walking,1.2885
Manchester,2020-01-24,Walking,1.4722
Manchester,2020-01-25,Walking,1.9096000000000002
Manchester,2020-01-26,Walking,1.1665999999999999
Manchester,2020-01-27,Walking,1.1139000000000001
Manchester,2020-01-28,Walking,1.2043000000000001
Manchester,2020-01-29,Walking,1.4301
Manchester,2020-01-30,Walking,1.3341999999999998
Manchester,2020-01-31,Walking,1.5315
Manchester,2020-02-01,Walking,1.9728999999999999
Manchester,2020-02-02,Walking,1.1009
Manchester,2020-02-03,Walking,1.1243
Manchester,2020-02-04,Walking,1.2009999999999998
Manchester,2020-02-05,Walking,1.2963
Manchester,2020-02-06,Walking,1.4142
Manchester,2020-02-07,Walking,1.5529
Manchester,2020-02-08,Walking,1.8553
Manchester,2020-02-09,Walking,0.8645999999999999
Manchester,2020-02-10,Walking,1.0345
Manchester,2020-02-11,Walking,1.0787
Manchester,2020-02-12,Walking,1.2283
Manchester,2020-02-13,Walking,1.2761
Manchester,2020-02-14,Walking,1.7247
Manchester,2020-02-15,Walking,1.8558000000000001
Manchester,2020-02-16,Walking,1.1340000000000001
Manchester,2020-02-17,Walking,1.2416
Manchester,2020-02-18,Walking,1.3221
Manchester,2020-02-19,Walking,1.4217
Manchester,2020-02-20,Walking,1.3094999999999999
Manchester,2020-02-21,Walking,1.557
Manchester,2020-02-22,Walking,1.9922
Manchester,2020-02-23,Walking,1.1206
Manchester,2020-02-24,Walking,1.0762
Manchester,2020-02-25,Walking,1.1587
Manchester,2020-02-26,Walking,1.3015
Manchester,2020-02-27,Walking,1.4182
Manchester,2020-02-28,Walking,1.8078
Manchester,2020-02-29,Walking,1.9496
Manchester,2020-03-01,Walking,1.1159000000000001
Manchester,2020-03-02,Walking,1.1531
Manchester,2020-03-03,Walking,1.2505
Manchester,2020-03-04,Walking,1.272
Manchester,2020-03-05,Walking,1.1906999999999999
Manchester,2020-03-06,Walking,1.5748
Manchester,2020-03-07,Walking,1.9166999999999998
Manchester,2020-03-08,Walking,1.1781
Manchester,2020-03-09,Walking,1.0239
Manchester,2020-03-10,Walking,1.1184
Manchester,2020-03-11,Walking,1.2039
Manchester,2020-03-12,Walking,1.1596
Manchester,2020-03-13,Walking,1.3905
Manchester,2020-03-14,Walking,1.6036000000000001
Manchester,2020-03-15,Walking,0.8369
