area_name,area_code,date,place,percent
Greater Manchester,E47000001,2020-02-15,Retail & recreation,-0.08
Greater Manchester,E47000001,2020-02-15,Grocery & pharmacy,-0.07
Greater Manchester,E47000001,2020-02-15,Parks,-0.35
Greater Manchester,E47000001,2020-02-15,Transit stations,-0.1
Greater Manchester,E47000001,2020-02-15,Workplaces,-0.03
Greater Manchester,E47000001,2020-02-15,Residential,0.02
Greater Manchester,E47000001,2020-02-16,Retail & recreation,0.01
Greater Manchester,E47000001,2020-02-16,Grocery & pharmacy,-0.04
Greater Manchester,E47000001,2020-02-16,Parks,-0.08
Greater Manchester,E47000001,2020-02-16,Transit stations,-0.01
Greater Manchester,E47000001,2020-02-16,Workplaces,-0.01
Greater Manchester,E47000001,2020-02-16,Residential,0
Greater Manchester,E47000001,2020-02-17,Retail & recreation,0.07
Greater Manchester,E47000001,2020-02-17,Grocery & pharmacy,-0.02
Greater Manchester,E47000001,2020-02-17,Parks,0.07
Greater Manchester,E47000001,2020-02-17,Transit stations,-0.02
Greater Manchester,E47000001,2020-02-17,Workplaces,-0.13
Greater Manchester,E47000001,2020-02-17,Residential,0.02
Greater Manchester,E47000001,2020-02-18,Retail & recreation,0.07
Greater Manchester,E47000001,2020-02-18,Grocery & pharmacy,-0.02
Greater Manchester,E47000001,2020-02-18,Parks,0.04
Greater Manchester,E47000001,2020-02-18,Transit stations,-0.04
Greater Manchester,E47000001,2020-02-18,Workplaces,-0.12
Greater Manchester,E47000001,2020-02-18,Residential,0.02
Greater Manchester,E47000001,2020-02-19,Retail & recreation,0.02
Greater Manchester,E47000001,2020-02-19,Grocery & pharmacy,-0.05
Greater Manchester,E47000001,2020-02-19,Parks,-0.13
Greater Manchester,E47000001,2020-02-19,Transit stations,-0.03
Greater Manchester,E47000001,2020-02-19,Workplaces,-0.12
Greater Manchester,E47000001,2020-02-19,Residential,0.02
Greater Manchester,E47000001,2020-02-20,Retail & recreation,0.03
Greater Manchester,E47000001,2020-02-20,Grocery & pharmacy,-0.03
Greater Manchester,E47000001,2020-02-20,Parks,-0.12
