area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,Attendance Allowance (cases in payment),2018-05,count,persons,165
E02001260,Trafford Park West & Kingsway Park,Attendance Allowance (cases in payment),2018-05,count,persons,164
E02001261,Gorse Hill,Attendance Allowance (cases in payment),2018-05,count,persons,116
E02001262,Firswood,Attendance Allowance (cases in payment),2018-05,count,persons,195
E02001263,Davyhulme,Attendance Allowance (cases in payment),2018-05,count,persons,199
E02001264,Trafford Park East & Sevenways,Attendance Allowance (cases in payment),2018-05,count,persons,135
E02001265,Flixton & Moorside,Attendance Allowance (cases in payment),2018-05,count,persons,196
E02001266,Lostock & Stretford Meadows,Attendance Allowance (cases in payment),2018-05,count,persons,169
E02001267,Urmston East,Attendance Allowance (cases in payment),2018-05,count,persons,274
E02001268,Urmston West,Attendance Allowance (cases in payment),2018-05,count,persons,203
E02001269,Stretford East,Attendance Allowance (cases in payment),2018-05,count,persons,199
E02001270,Sale North,Attendance Allowance (cases in payment),2018-05,count,persons,191
E02001271,Ashton upon Mersey North,Attendance Allowance (cases in payment),2018-05,count,persons,155
E02001272,Sale East,Attendance Allowance (cases in payment),2018-05,count,persons,137
E02001273,Sale Central,Attendance Allowance (cases in payment),2018-05,count,persons,209
E02001274,Ashton upon Mersey South,Attendance Allowance (cases in payment),2018-05,count,persons,205
E02001275,Partington,Attendance Allowance (cases in payment),2018-05,count,persons,186
E02001276,Sale Moor,Attendance Allowance (cases in payment),2018-05,count,persons,184
E02001277,Broadheath & Firsway,Attendance Allowance (cases in payment),2018-05,count,persons,107
E02001278,West Timperley,Attendance Allowance (cases in payment),2018-05,count,persons,150
E02001279,Timperley North,Attendance Allowance (cases in payment),2018-05,count,persons,133
E02001280,Timperley East,Attendance Allowance (cases in payment),2018-05,count,persons,240
E02001281,Timperley South,Attendance Allowance (cases in payment),2018-05,count,persons,195
E02001282,Altrincham East,Attendance Allowance (cases in payment),2018-05,count,persons,152
E02001283,"Altrincham West, Dunham & Warburton",Attendance Allowance (cases in payment),2018-05,count,persons,226
E02001284,Hale,Attendance Allowance (cases in payment),2018-05,count,persons,146
E02001285,Bowdon,Attendance Allowance (cases in payment),2018-05,count,persons,191
E02001286,Hale Barns,Attendance Allowance (cases in payment),2018-05,count,persons,215
E02001259,Old Trafford,Attendance Allowance (cases in payment),2018-08,count,persons,160
E02001260,Trafford Park West & Kingsway Park,Attendance Allowance (cases in payment),2018-08,count,persons,170
E02001261,Gorse Hill,Attendance Allowance (cases in payment),2018-08,count,persons,114
E02001262,Firswood,Attendance Allowance (cases in payment),2018-08,count,persons,200
