area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,Disability Living Allowance (cases in payment),2018-05,count,persons,383
E02001260,Trafford Park West & Kingsway Park,Disability Living Allowance (cases in payment),2018-05,count,persons,225
E02001261,Gorse Hill,Disability Living Allowance (cases in payment),2018-05,count,persons,262
E02001262,Firswood,Disability Living Allowance (cases in payment),2018-05,count,persons,308
E02001263,Davyhulme,Disability Living Allowance (cases in payment),2018-05,count,persons,225
E02001264,Trafford Park East & Sevenways,Disability Living Allowance (cases in payment),2018-05,count,persons,220
E02001265,Flixton & Moorside,Disability Living Allowance (cases in payment),2018-05,count,persons,308
E02001266,Lostock & Stretford Meadows,Disability Living Allowance (cases in payment),2018-05,count,persons,239
E02001267,Urmston East,Disability Living Allowance (cases in payment),2018-05,count,persons,280
E02001268,Urmston West,Disability Living Allowance (cases in payment),2018-05,count,persons,181
E02001269,Stretford East,Disability Living Allowance (cases in payment),2018-05,count,persons,238
E02001270,Sale North,Disability Living Allowance (cases in payment),2018-05,count,persons,191
E02001271,Ashton upon Mersey North,Disability Living Allowance (cases in payment),2018-05,count,persons,205
E02001272,Sale East,Disability Living Allowance (cases in payment),2018-05,count,persons,142
E02001273,Sale Central,Disability Living Allowance (cases in payment),2018-05,count,persons,170
E02001274,Ashton upon Mersey South,Disability Living Allowance (cases in payment),2018-05,count,persons,151
E02001275,Partington,Disability Living Allowance (cases in payment),2018-05,count,persons,509
E02001276,Sale Moor,Disability Living Allowance (cases in payment),2018-05,count,persons,288
E02001277,Broadheath & Firsway,Disability Living Allowance (cases in payment),2018-05,count,persons,319
E02001278,West Timperley,Disability Living Allowance (cases in payment),2018-05,count,persons,99
E02001279,Timperley North,Disability Living Allowance (cases in payment),2018-05,count,persons,135
E02001280,Timperley East,Disability Living Allowance (cases in payment),2018-05,count,persons,292
E02001281,Timperley South,Disability Living Allowance (cases in payment),2018-05,count,persons,135
E02001282,Altrincham East,Disability Living Allowance (cases in payment),2018-05,count,persons,188
E02001283,"Altrincham West, Dunham & Warburton",Disability Living Allowance (cases in payment),2018-05,count,persons,141
E02001284,Hale,Disability Living Allowance (cases in payment),2018-05,count,persons,81
E02001285,Bowdon,Disability Living Allowance (cases in payment),2018-05,count,persons,90
E02001286,Hale Barns,Disability Living Allowance (cases in payment),2018-05,count,persons,120
E02001259,Old Trafford,Disability Living Allowance (cases in payment),2018-08,count,persons,365
E02001260,Trafford Park West & Kingsway Park,Disability Living Allowance (cases in payment),2018-08,count,persons,215
E02001261,Gorse Hill,Disability Living Allowance (cases in payment),2018-08,count,persons,250
E02001262,Firswood,Disability Living Allowance (cases in payment),2018-08,count,persons,282
E02001263,Davyhulme,Disability Living Allowance (cases in payment),2018-08,count,persons,209
E02001264,Trafford Park East & Sevenways,Disability Living Allowance (cases in payment),2018-08,count,persons,205
E02001265,Flixton & Moorside,Disability Living Allowance (cases in payment),2018-08,count,persons,285
E02001266,Lostock & Stretford Meadows,Disability Living Allowance (cases in payment),2018-08,count,persons,217
E02001267,Urmston East,Disability Living Allowance (cases in payment),2018-08,count,persons,259
E02001268,Urmston West,Disability Living Allowance (cases in payment),2018-08,count,persons,171
E02001269,Stretford East,Disability Living Allowance (cases in payment),2018-08,count,persons,225
E02001270,Sale North,Disability Living Allowance (cases in payment),2018-08,count,persons,182
E02001271,Ashton upon Mersey North,Disability Living Allowance (cases in payment),2018-08,count,persons,193
E02001272,Sale East,Disability Living Allowance (cases in payment),2018-08,count,persons,141
E02001273,Sale Central,Disability Living Allowance (cases in payment),2018-08,count,persons,164
E02001274,Ashton upon Mersey South,Disability Living Allowance (cases in payment),2018-08,count,persons,146
E02001275,Partington,Disability Living Allowance (cases in payment),2018-08,count,persons,464
E02001276,Sale Moor,Disability Living Allowance (cases in payment),2018-08,count,persons,272
E02001277,Broadheath & Firsway,Disability Living Allowance (cases in payment),2018-08,count,persons,285
E02001278,West Timperley,Disability Living Allowance (cases in payment),2018-08,count,persons,93
E02001279,Timperley North,Disability Living Allowance (cases in payment),2018-08,count,persons,119
E02001280,Timperley East,Disability Living Allowance (cases in payment),2018-08,count,persons,273
