area_code,area_name,indicator,period,measure,unit,value
E02001259,Old Trafford,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,44
E02001260,Trafford Park West & Kingsway Park,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,12
E02001261,Gorse Hill,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,15
E02001262,Firswood,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,32
E02001263,Davyhulme,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,15
E02001264,Trafford Park East & Sevenways,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,11
E02001265,Flixton & Moorside,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,16
E02001266,Lostock & Stretford Meadows,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,18
E02001267,Urmston East,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,14
E02001268,Urmston West,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,14
E02001269,Stretford East,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,16
E02001270,Sale North,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,5
E02001271,Ashton upon Mersey North,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,22
E02001272,Sale East,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,6
E02001273,Sale Central,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,9
E02001274,Ashton upon Mersey South,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,0
E02001275,Partington,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,56
E02001276,Sale Moor,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,17
E02001277,Broadheath & Firsway,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,17
E02001278,West Timperley,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,10
E02001279,Timperley North,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,9
E02001280,Timperley East,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,21
E02001281,Timperley South,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,7
E02001282,Altrincham East,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,13
E02001283,"Altrincham West, Dunham & Warburton",Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,12
E02001284,Hale,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,0
E02001285,Bowdon,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,0
E02001286,Hale Barns,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-05,count,persons,8
E02001259,Old Trafford,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,44
E02001260,Trafford Park West & Kingsway Park,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,13
E02001261,Gorse Hill,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,15
E02001262,Firswood,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,33
E02001263,Davyhulme,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,16
E02001264,Trafford Park East & Sevenways,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,17
E02001265,Flixton & Moorside,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,16
E02001266,Lostock & Stretford Meadows,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,15
E02001267,Urmston East,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,16
E02001268,Urmston West,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,13
E02001269,Stretford East,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,16
E02001270,Sale North,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,6
E02001271,Ashton upon Mersey North,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,22
E02001272,Sale East,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,6
E02001273,Sale Central,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,9
E02001274,Ashton upon Mersey South,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,0
E02001275,Partington,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,53
E02001276,Sale Moor,Employment and Support Allowance (respiratory or circulatory medical conditions),2018-08,count,persons,18
