Month,Altrincham,Stretford
2019-01-01T00:00:00Z,2318,4749
2019-02-01T00:00:00Z,2236,4422
2019-03-01T00:00:00Z,2264,4478
2019-04-01T00:00:00Z,2286,4557
2019-05-01T00:00:00Z,2345,4671
2019-06-01T00:00:00Z,2329,4825
2019-07-01T00:00:00Z,2372,4884
2019-08-01T00:00:00Z,2441,4981
2019-09-01T00:00:00Z,2454,5120
2019-10-01T00:00:00Z,2497,5243
2019-11-01T00:00:00Z,2552,5372
2019-12-01T00:00:00Z,2574,5364
2020-01-01T00:00:00Z,2565,5421
2020-02-01T00:00:00Z,2651,5659
2020-03-01T00:00:00Z,2655,5802
2020-04-01T00:00:00Z,3944,8167
